fontecontato,ranking,score,idusuarioinclusao,idinterno,tipopessoa,cnpjcpf
ERP,1,1.0,1241,2156165,Jurídica,09313678000107
Indicação,0,,1226,2153802,Jurídica,05885594000189
ECONODATA,0,,1752,1524672,Jurídica,32426394000130
ECONODATA,0,,1752,1534539,Jurídica,00844143000180
ECONODATA,0,,1718,1492846,Jurídica,54607114000123
ERP,0,,1187,844765,Jurídica,02064150000194
ECONODATA,0,,1752,1603496,Jurídica,90049776000199
ERP,1,1.0,1187,841572,Jurídica,87833737000173
ERP,1,1.0,1187,1416306,Jurídica,14073441000128
ERP,1,1.0,1187,841842,Jurídica,04022407000170
Indicação,5,,1328,930239,Jurídica,04283558000182
ERP,1,1.0,1187,841774,Jurídica,90314451000196
ECONODATA,0,,1752,1534638,Jurídica,17262005000195
ERP,1,1.0,1187,842219,Jurídica,93774586000122
ERP,0,,1187,842644,Jurídica,03447657000190
Ações de Marketing (Feira),0,,1718,1447567,Jurídica,03594475000141
Indicação,0,,1328,1309137,Jurídica,57889347000154
ERP,0,,1187,842773,Jurídica,66918558000169
ERP,1,1.0,1187,845512,Jurídica,28399886000107
ERP,0,,1187,1824390,Jurídica,57558082000101
ERP,1,1.0,1187,845264,Jurídica,24576438000180
ERP,1,1.0,1187,841226,Jurídica,94304920000147
Ações de Marketing (Feira),0,,1527,2049097,Jurídica,86046463000100
ERP,1,1.0,1187,844975,Jurídica,05634834000172
ERP,1,1.0,1187,844954,Jurídica,87547162000122
ERP,1,1.0,1187,844642,Jurídica,15782433000113
Prospecção Ativa- Vendas Internas,0,,1226,2090057,Jurídica,50088582000188
ERP,1,1.0,1187,841902,Jurídica,00608601000181
ECONODATA,0,,1752,1646787,Jurídica,14728230000186
Indicação,0,,1331,1888216,Jurídica,24441206000115
Ações de Marketing (Internet/Site),0,,1331,1889391,Jurídica,10927068000174
Indicação,0,,1331,1887099,Jurídica,26955646000116
ERP,1,1.0,1187,843444,Jurídica,03149106000140
ERP,1,1.0,1331,1998200,Jurídica,79846341000132
Ligação / Visita Receptiva/ Cliente Contatou,0,,1331,1420148,Jurídica,
Indicação,0,,1216,1870580,Jurídica,59270512000110
Indicação,0,,1328,1278222,Jurídica,02948030000230
ERP,1,1.0,1187,842002,Jurídica,89729867000196
ERP,0,,1187,843409,Jurídica,43283142000116
ERP,1,1.0,1187,843040,Jurídica,10942479000139
ERP,1,1.0,1187,845266,Jurídica,11390104000176
Indicação,0,,1328,1325891,Jurídica,90095142000172
ERP,1,1.0,1187,844177,Jurídica,18128103000105
Indicação,0,,1328,917227,Jurídica,04392991000156
Ações de Marketing (Feira),0,,1328,913095,Jurídica,76492701000742
Indicação,0,,1331,1295672,Jurídica,
ERP,1,1.0,1187,845587,Jurídica,11386937000163
ERP,1,1.0,1187,843942,Jurídica,05931959000164
Indicação,0,,2795,2079676,Jurídica,38438765000180
Indicação,0,,1328,1327144,Jurídica,00529977000109
Indicação,0,,1328,1220817,Jurídica,29116934000175
ERP,1,1.0,1187,841688,Jurídica,88625249000133
Ligação / Visita Receptiva/ Cliente Contatou,0,,1298,1463630,Jurídica,05097806000163
ERP,1,1.0,1187,841348,Jurídica,94819729000138
ECONODATA,0,,1752,1534626,Jurídica,12010550000170
ERP,1,1.0,1187,843909,Jurídica,06926200000156
Ligação / Visita Receptiva/ Cliente Contatou,0,,1216,1895693,Jurídica,10798211000175
ERP,0,,1187,844469,Jurídica,14030947000150
ERP,1,1.0,1331,2017761,Jurídica,02246955000159
ERP,1,1.0,1187,1211008,Jurídica,08883031000140
ERP,1,1.0,1187,841151,Jurídica,03403773000107
ERP,1,1.0,1187,842105,Jurídica,01072992000125
ERP,1,1.0,1187,1745721,Jurídica,20104092000167
ERP,1,1.0,1187,845361,Jurídica,85498269000100
ECONODATA,0,,1752,1652259,Jurídica,15821297000123
Indicação,0,,2795,2179511,Jurídica,91903443000148
Ligação / Visita Receptiva/ Cliente Contatou,5,,1223,1823937,Jurídica,01303653000102
Indicação,0,,1328,1231845,Jurídica,02576319000195
ERP,1,1.0,1187,845214,Jurídica,18485590000155
Indicação,0,,1241,2165239,Jurídica,
Indicação,0,,1241,1990800,Jurídica,63380828000132
Indicação,0,,1328,1975242,Jurídica,
Indicação,0,,1328,1425930,Jurídica,11543652000199
ERP,1,1.0,1331,2160598,Jurídica,37234817000134
ERP,1,1.0,1187,1852926,Jurídica,34582735000192
ECONODATA,0,,1752,1545790,Jurídica,04112577000146
ERP,1,1.0,1187,843175,Jurídica,08941104000102
ERP,1,1.0,1187,841714,Jurídica,92781335000102
ERP,1,1.0,1187,844992,Jurídica,03735407000155
Indicação,0,,1328,1311196,Jurídica,06993568000137
Indicação,5,,1328,1325124,Jurídica,14285871000103
ERP,1,1.0,1187,841914,Jurídica,91271759000164
ECONODATA,0,,1752,1534639,Jurídica,17560013000118
Ligação / Visita Receptiva/ Cliente Contatou,0,,1350,1944010,Jurídica,43949825000160
Indicação,0,,2912,2092368,Jurídica,04681164000182
ERP,1,1.0,1187,844555,Jurídica,57373375000203
Ligação / Visita Receptiva/ Cliente Contatou,0,,1350,1552602,Jurídica,26754099000100
ERP,1,1.0,1187,2207326,Jurídica,21034389000166
ERP,1,1.0,1187,843949,Jurídica,11387204000143
ERP,1,1.0,1187,842608,Jurídica,94282662000145
ERP,1,1.0,1187,842730,Jurídica,46029880000120
Ações de Marketing (Feira),0,,1718,1430231,Jurídica,13990476000169
Ligação / Visita Receptiva/ Cliente Contatou,0,,1355,1900403,Jurídica,23161539000128
ECONODATA,1,,1752,1524687,Jurídica,54805635000195
Ações de Marketing (Internet/Site),0,,1355,2020966,Jurídica,32952700000172
ERP,1,1.0,1187,841853,Jurídica,60487063000146
ECONODATA,0,,2795,2197838,Jurídica,
ERP,1,1.0,1187,2176644,Jurídica,24712443000173
ERP,1,1.0,1187,1217714,Jurídica,07613085000122
Indicação,0,,1226,2154275,Jurídica,24018092000103
ERP,1,1.0,1187,845565,Jurídica,02684923000135
Prospecção Ativa- Vendas Internas,0,,1226,1986302,Jurídica,08960012000170
ERP,0,,1187,842150,Jurídica,03436236000163
ECONODATA,0,,1241,2130637,Jurídica,10886565000171
Ações de Marketing (Internet/Site),0,,1527,1615637,Jurídica,72242621000192
ERP,1,1.0,1187,845328,Jurídica,24859657000177
Ações de Marketing (Feira),2,,1242,1622699,Jurídica,26598132000150
Indicação,0,,1226,1465945,Jurídica,13363534000124
ERP,1,1.0,1187,845516,Jurídica,15018981000171
ERP,1,1.0,1187,841136,Jurídica,88893490000143
Indicação,0,,2795,2159784,Jurídica,
ERP,1,1.0,1187,843317,Jurídica,09258532000106
ERP,1,1.0,1187,844971,Jurídica,02836248000112
ERP,1,1.0,1187,841961,Jurídica,56990526000110
ECONODATA,0,,1752,1646757,Jurídica,29779732000103
ERP,1,1.0,1187,844144,Jurídica,09461504000183
ERP,1,1.0,1187,843701,Jurídica,01240611000170
ECONODATA,0,,1752,1603620,Jurídica,08228513000166
ECONODATA,0,,1752,1646715,Jurídica,07152723000155
ERP,1,1.0,1187,1657831,Jurídica,14117593000266
ERP,1,1.0,1187,842654,Jurídica,06082621000148
Ligação / Visita Receptiva/ Cliente Contatou,0,,1350,1270691,Jurídica,51378321000165
ERP,0,,1187,841806,Jurídica,06264944000152
ERP,1,1.0,1187,841946,Jurídica,91233635000194
ERP,1,1.0,1187,841130,Jurídica,93212330000121
ERP,1,1.0,1187,2286112,Jurídica,12076375000114
ERP,1,1.0,1187,2268874,Jurídica,10298238000107
ERP,1,1.0,1187,2223352,Jurídica,46142725000115
ERP,1,1.0,1187,2223069,Jurídica,11281119000104
ERP,1,1.0,1187,2222990,Jurídica,56854326000130
ERP,1,1.0,1187,2208224,Jurídica,58835299000184
ERP,1,1.0,1187,2201773,Jurídica,91505230000168
ERP,1,1.0,1187,2201510,Jurídica,16625953000185
Indicação,0,,1241,2299073,Jurídica,23846818000125
ECONODATA,0,,1328,2171843,Jurídica,
ERP,1,1.0,1187,842863,Jurídica,88250147000180
ERP,0,,1187,841309,Jurídica,61199550000176
Indicação,0,,1298,2347295,Jurídica,20009504000180
ERP,1,1.0,1187,842063,Jurídica,00409281000130
ERP,1,1.0,1187,842959,Jurídica,07515534000108
Ações de Marketing (Feira),0,,1527,1530011,Jurídica,82719956000102
Ligação / Visita Receptiva/ Cliente Contatou,0,,1527,1888983,Jurídica,05083793000173
Indicação,0,,1328,1281806,Jurídica,04597646000159
ERP,1,1.0,1187,841508,Jurídica,33064262000179
ERP,1,1.0,1187,2123319,Jurídica,82895327000133
ERP,1,1.0,1187,1404636,Jurídica,06886749000407
ERP,1,1.0,1187,841187,Jurídica,82445644000158
ERP,0,,1187,845374,Jurídica,26865868000148
ERP,1,1.0,1187,841395,Jurídica,01486413000190
Ligação / Visita Receptiva/ Cliente Contatou,0,,1350,2207060,Jurídica,15268086000105
ERP,1,1.0,1187,844414,Jurídica,18902856000118
Prospecção Ativa- Vendas Internas,0,,2795,2341495,Jurídica,
ECONODATA,0,,2795,2048368,Jurídica,15588533000103
Indicação,0,,1298,2367423,Jurídica,26521410000171
ERP,0,,1187,843182,Jurídica,01297945000180
ERP,1,1.0,1187,845162,Jurídica,11724876000105
ECONODATA,0,,1752,1524691,Jurídica,56250715000157
ERP,1,1.0,1187,1404827,Jurídica,29296150000176
ERP,0,,1187,841884,Jurídica,01833830000162
ERP,0,,1187,845204,Jurídica,03000872000148
ERP,1,1.0,1187,845356,Jurídica,92240845000172
Prospecção Ativa- Vendas Internas,0,,2795,2174444,Jurídica,89772065000169
Indicação,0,,1328,917199,Jurídica,80705700000110
ERP,1,1.0,1187,2305011,Jurídica,17975572000199
ERP,1,1.0,1187,842677,Jurídica,83953141000156
ERP,1,1.0,1187,843015,Jurídica,07786490000142
Indicação,0,,1328,921149,Jurídica,10014779000158
ERP,1,1.0,1187,845172,Jurídica,03102539000140
Ações de Marketing (Internet/Site),0,,1328,946336,Jurídica,82599432000125
ERP,1,1.0,1187,843457,Jurídica,82524018000157
Ações de Marketing (Feira),5,,1328,913501,Jurídica,22826361000124
Indicação,0,,1527,1525182,Jurídica,21802826000144
Ligação / Visita Receptiva/ Cliente Contatou,0,0.0,1344,2081489,Jurídica,01466323000138
ERP,2,1.0,1187,842320,Jurídica,04654678000149
Indicação,0,,2795,2205141,Jurídica,36774849000160
ERP,1,1.0,1187,841651,Jurídica,01256141000132
ERP,1,1.0,1187,2347047,Jurídica,02914969000101
ERP,1,1.0,1187,2015233,Jurídica,04039380000129
ERP,0,,1187,841539,Jurídica,05950598000101
Indicação,0,,1328,917716,Jurídica,03579464000192
Ações de Marketing (Feira),0,,1331,1531769,Jurídica,06368451000162
ECONODATA,0,,1752,1629322,Jurídica,78419041000104
ECONODATA,0,,1752,1646777,Jurídica,04568250000183
Indicação,0,,1328,1278206,Jurídica,11986456000199
Indicação,0,,1331,2184857,Jurídica,31310783000133
Indicação,0,,2795,2361711,Jurídica,
ERP,1,1.0,1187,845001,Jurídica,17707933000116
ERP,1,1.0,1187,2209213,Jurídica,16678109000112
ERP,1,1.0,1187,842156,Jurídica,60341997000175
Ações de Marketing (Internet/Site),0,,1331,2180438,Jurídica,29720805000191
Indicação,0,,1241,2345247,Jurídica,33653812000195
Indicação,0,,1223,2369862,Jurídica,02526009000166
ECONODATA,0,,1718,1492889,Jurídica,57398984000128
ERP,1,1.0,1187,2396125,Jurídica,15033180000185
ERP,1,1.0,1187,1961515,Jurídica,32665102000112
Ações de Marketing (Feira),0,,1328,1405073,Jurídica,27497726000138
ERP,1,1.0,1187,845514,Jurídica,18441684000122
ECONODATA,0,,1752,1534586,Jurídica,06938675000162
Ligação / Visita Receptiva/ Cliente Contatou,0,,1350,2201599,Jurídica,13288935000167
ECONODATA,0,,1752,1656714,Jurídica,13646768000189
ERP,0,,1187,842047,Jurídica,00414269000114
Indicação,0,,1350,1208500,Jurídica,60860681000190
ECONODATA,0,,1752,1601179,Jurídica,10497068000181
Indicação,0,,1856,2432700,Jurídica,
ECONODATA,0,,1718,1492859,Jurídica,55243455000120
Ações de Marketing (Feira),0,,1718,1431101,Jurídica,05773943000170
ERP,0,,1187,842389,Jurídica,48845556000105
ECONODATA,0,,1856,2222243,Jurídica,16981595000143
ERP,1,1.0,1187,842673,Jurídica,03774962000196
ECONODATA,0,,1752,1628733,Jurídica,18047817000180
ECONODATA,0,,1752,1524583,Jurídica,04864669000182
ECONODATA,0,,1752,1545935,Jurídica,07696912000199
Ações de Marketing (Feira),0,,1718,1467548,Jurídica,60671831000206
ECONODATA,0,,1752,1652248,Jurídica,09572966000178
ECONODATA,0,,1752,1643388,Jurídica,11263643000144
ECONODATA,0,,1752,1524704,Jurídica,62070693000146
ECONODATA,0,,1718,1492897,Jurídica,58717190000142
ECONODATA,0,,1752,1601197,Jurídica,14763518000191
Ações de Marketing (Internet/Site),0,,1331,1936114,Jurídica,33514351000170
Ações de Marketing (Feira),0,,1718,1433508,Jurídica,72026024000120
ERP,0,,1187,844027,Jurídica,76360874000111
Ações de Marketing (Internet/Site),0,,1331,1853670,Física,05405010936
ECONODATA,0,,1752,1601212,Jurídica,46174629000159
ERP,1,1.0,1187,2078781,Jurídica,76825454000163
ERP,0,,1187,844953,Jurídica,13455068000107
ERP,0,,1187,843463,Jurídica,40233215000177
ERP,1,1.0,1187,842084,Jurídica,04102237000134
ERP,1,1.0,1187,842674,Jurídica,03784297000111
ERP,0,,1187,1617906,Jurídica,13568763000185
ERP,1,1.0,1331,1959532,Jurídica,83060012000139
Ações de Marketing (Feira),0,,1718,1873375,Jurídica,07117663000130
Indicação,0,,1241,900909,Jurídica,23123742000100
ERP,1,1.0,1187,1393946,Jurídica,31016630000188
Ligação / Visita Receptiva/ Cliente Contatou,0,,1331,2345278,Jurídica,04056767000193
ECONODATA,0,,1752,1534771,Jurídica,97044564000168
ERP,1,1.0,1187,841456,Jurídica,87007910000184
ECONODATA,0,,1752,1601224,Jurídica,60979499000152
ERP,1,1.0,1187,844977,Jurídica,10355314000160
ECONODATA,0,,1752,1524648,Jurídica,18011512000119
Indicação,0,,1241,2284517,Jurídica,04800737000140
Ligação / Visita Receptiva/ Cliente Contatou,0,,1350,1462676,Jurídica,18368443000103
ECONODATA,0,,1752,1545939,Jurídica,08846082000100
ECONODATA,0,,1186,1524171,Jurídica,88891312000183
Indicação,0,,1328,915911,Jurídica,04168163000139
ECONODATA,0,,1752,1534646,Jurídica,21579532000103
Indicação,0,,1718,1995603,Jurídica,06175874000166
Indicação,0,,1328,2426848,Jurídica,
ECONODATA,0,,1752,1628675,Jurídica,01862034000158
ECONODATA,0,,1752,1601176,Jurídica,10443071000112
ERP,0,,1187,845641,Jurídica,25128215000113
ECONODATA,0,,1752,1656713,Jurídica,13144666000165
ERP,1,1.0,1187,844407,Jurídica,91274860000179
ERP,1,1.0,1187,841732,Jurídica,06272111000133
ECONODATA,0,,1752,1524621,Jurídica,10905136000102
Indicação,0,,2912,2100112,Jurídica,62576327000830
ECONODATA,0,0.0,1344,1853092,Jurídica,31532307000167
ERP,1,1.0,1187,841339,Jurídica,55064562000190
Indicação,0,,1331,2418840,Jurídica,05798965000195
Indicação,0,,1331,2425684,Jurídica,13376191000132
Ligação / Visita Receptiva/ Cliente Contatou,0,,1355,1968601,Jurídica,59253237000127
ECONODATA,0,,1752,1629265,Jurídica,06029157000126
ERP,1,1.0,1187,842355,Jurídica,02950844000129
ECONODATA,0,,1752,1665142,Jurídica,19953761000196
ERP,0,,1187,842365,Jurídica,43636661000110
Indicação,0,,2912,2201295,Jurídica,
ERP,1,1.0,1187,1871210,Jurídica,26591310000111
ERP,0,,1187,898175,Jurídica,61128500000106
Ações de Marketing (Feira),0,,1328,900796,Jurídica,04286289000108
ERP,1,1.0,1187,844466,Jurídica,07413331000100
ERP,1,1.0,1187,845501,Jurídica,27424460000101
Ligação / Visita Receptiva/ Cliente Contatou,0,,1188,946387,Jurídica,32054913000187
Indicação,0,,1328,2121856,Jurídica,
ERP,0,,1187,843311,Jurídica,55928444000183
ECONODATA,0,,1718,1492793,Jurídica,00618863000127
Indicação,0,,1223,1995827,Jurídica,86725462000191
ECONODATA,0,,1752,1617560,Jurídica,00936241000147
ECONODATA,0,,1752,1982562,Jurídica,75883975000104
ERP,1,1.0,1187,844023,Jurídica,04041795000137
Indicação,0,,2795,2201988,Jurídica,88303433000167
ECONODATA,0,,1752,1545975,Jurídica,29182059000120
Ações de Marketing (Internet/Site),0,,1241,2176689,Jurídica,33254986000185
ERP,1,1.0,1187,841998,Jurídica,76812379000104
ERP,1,1.0,1187,845423,Jurídica,91422477000110
ECONODATA,0,,1752,1628741,Jurídica,30425704000177
ERP,0,,1187,842807,Jurídica,53538369000119
ECONODATA,0,,1241,2151046,Jurídica,61172730000164
ECONODATA,0,,1752,1524630,Jurídica,12539350000100
ERP,1,1.0,1187,842523,Jurídica,04214187000187
Ações de Marketing (Feira),0,,1289,1409379,Jurídica,14791662000131
ECONODATA,0,,1752,1534537,Jurídica,00418792000119
ERP,1,1.0,1187,844731,Jurídica,04270993000172
Prospecção Ativa- Vendas Internas,0,,2795,2413013,Jurídica,34546578000160
ERP,1,1.0,1187,843606,Jurídica,10468193000163
ECONODATA,0,,1752,1601182,Jurídica,12348523000102
Ligação / Visita Receptiva/ Cliente Contatou,2,,1242,1658325,Jurídica,21561375000109
ECONODATA,0,,1752,2346676,Jurídica,24633014000100
Indicação,0,,1241,2187917,Jurídica,33270909000119
ECONODATA,0,,1752,1524650,Jurídica,18402540000167
ERP,1,1.0,1187,841463,Jurídica,06170038000199
Indicação,0,,2795,2280997,Jurídica,24683404000195
ECONODATA,0,,1186,1524161,Jurídica,22254747000109
Indicação,0,,1241,2439462,Jurídica,30310198000170
ERP,0,,1187,841385,Jurídica,71767693000190
ERP,1,1.0,1241,2122075,Jurídica,15235149000127
Ligação / Visita Receptiva/ Cliente Contatou,0,,3002,2474848,Jurídica,26293439000143
ECONODATA,0,,1752,1601121,Jurídica,31249045000128
ECONODATA,0,,1752,1617583,Jurídica,28667312000172
ECONODATA,0,,1752,1601180,Jurídica,10511922000117
ECONODATA,0,,1752,2099886,Jurídica,59825307000174
Ações de Marketing (Feira),0,,1718,1465772,Jurídica,08942470000186
ECONODATA,0,,1752,2423037,Jurídica,04094369000161
ECONODATA,0,,1752,1617574,Jurídica,14002602000192
ECONODATA,0,,1752,1646714,Física,05772722000188
Indicação,0,,1242,2452891,Jurídica,58315458000110
ERP,1,1.0,1187,1895920,Jurídica,28230984000116
Ações de Marketing (Feira),0,,1328,900748,Jurídica,00441012000151
ERP,1,1.0,1187,2222989,Jurídica,21457333000114
ERP,1,1.0,1187,842907,Jurídica,74301375000128
ECONODATA,0,,1752,1646786,Jurídica,14706448000130
ERP,1,1.0,1187,1651289,Jurídica,09222093000173
ERP,0,,1187,842788,Jurídica,54156658000116
ERP,1,1.0,1187,841377,Jurídica,04773769000284
Ações de Marketing (Feira),0,,1718,1435194,Jurídica,09458873000117
ERP,1,1.0,1187,845013,Jurídica,06141186000185
ERP,1,1.0,1856,1983652,Jurídica,20638759000101
ECONODATA,0,,1752,1545960,Jurídica,17889902000123
Indicação,0,,2912,2299252,Jurídica,
ERP,1,1.0,1187,845402,Jurídica,05021817000160
ERP,1,1.0,1187,1875252,Jurídica,23285644000179
ERP,1,1.0,1187,1957977,Jurídica,30406555000107
Ações de Marketing (Feira),1,,1718,1463405,Jurídica,09156493000128
ERP,1,1.0,1187,844493,Jurídica,84431154000632
ECONODATA,0,,1752,1603612,Jurídica,07213786000174
Indicação,0,,2912,2278634,Jurídica,
Ações de Marketing (Feira),0,,1718,1463914,Jurídica,14127965000154
ECONODATA,0,,1752,1872614,Jurídica,22947932000189
ECONODATA,0,,1752,1646705,Jurídica,00678517000134
ECONODATA,0,,1752,1524576,Jurídica,03728669000192
ERP,1,1.0,1187,844126,Jurídica,01832151000179
Ligação / Visita Receptiva/ Cliente Contatou,0,,1187,1256060,Jurídica,15560250000153
ECONODATA,0,,1752,1601128,Jurídica,01757787000101
ECONODATA,0,,1752,2016890,Jurídica,01339168000199
ERP,1,1.0,1187,898609,Jurídica,03554317000168
Ações de Marketing (Feira),0,,1718,1891235,Jurídica,68377472000100
Ações de Marketing (Feira),0,,1718,1434623,Jurídica,03894130000103
ERP,0,,1187,844852,Jurídica,16782645000163
ECONODATA,0,,1752,1617562,Jurídica,06333474000131
Indicação,0,,1241,2344585,Jurídica,27597257000129
ERP,1,1.0,1187,2157360,Jurídica,07432397000130
ECONODATA,0,,1752,1534558,Jurídica,03679368000116
ERP,1,1.0,1187,841235,Jurídica,89673164000193
ERP,1,1.0,1187,844156,Jurídica,10714519000195
Ligação / Visita Receptiva/ Cliente Contatou,0,,1225,899777,Jurídica,15285952000176
ERP,2,1.0,1187,844194,Jurídica,04684648000185
ERP,2,1.0,1187,844117,Jurídica,90952052000150
ECONODATA,0,,1752,1601185,Jurídica,
ERP,1,1.0,1187,841974,Jurídica,44733244000159
ECONODATA,0,,1752,1628683,Jurídica,05905639000130
Ações de Marketing (Feira),0,,1718,1430184,Jurídica,01576817000175
ECONODATA,0,,1752,1617582,Jurídica,26579274000170
Indicação,0,,1328,1280530,Jurídica,06111479000110
ERP,1,1.0,1187,844658,Jurídica,04094084000120
Indicação,0,,2795,2171410,Jurídica,
Indicação,0,,1328,921405,Jurídica,78578614000142
Indicação,0,,2912,2086640,Jurídica,50473818000108
ECONODATA,0,,1752,1601136,Jurídica,03300107000143
Ações de Marketing (Feira),0,,1350,1405922,Jurídica,28389762000140
Indicação,0,,1241,2534437,Jurídica,72313976000125
Ações de Marketing (Internet/Site),0,,2795,2345807,Jurídica,13226233000159
ERP,0,,1187,841355,Jurídica,90510397000154
ERP,1,1.0,1187,841441,Jurídica,07756118000193
ERP,0,,1187,1431223,Jurídica,32411452000152
ECONODATA,0,,1752,1601150,Jurídica,05584302000178
Ações de Marketing (Feira),0,,1718,1430136,Jurídica,24207084000105
ERP,1,1.0,1187,844610,Jurídica,87827457000314
ERP,1,1.0,1187,845399,Jurídica,85778074000106
ERP,1,1.0,1187,842255,Jurídica,05587653000132
Ações de Marketing (Internet/Site),0,,2912,2184570,Jurídica,20935387000185
ECONODATA,0,,1752,1534552,Jurídica,02791651000172
ECONODATA,0,,1752,1545951,Jurídica,11899482000180
ECONODATA,0,,1718,1492911,Jurídica,62941984000162
ECONODATA,0,,1752,1617588,Jurídica,34100416000101
ECONODATA,0,,1752,1601188,Jurídica,13457087000172
Indicação,0,,1241,2418221,Jurídica,21962004000120
ERP,1,1.0,1187,842182,Jurídica,58762956000100
Ligação / Visita Receptiva/ Cliente Contatou,0,,1350,1806651,Jurídica,07855635000209
Ações de Marketing (Internet/Site),0,,1355,2085719,Jurídica,20331008000148
ERP,1,1.0,1187,841731,Jurídica,00601366000116
ERP,1,1.0,1187,843349,Jurídica,10582305000102
ERP,1,1.0,1187,1961379,Jurídica,03350300000199
ERP,1,1.0,1187,2503501,Jurídica,05773942000126
ERP,1,1.0,1187,2533784,Jurídica,07456210000138
ERP,1,1.0,1187,2555965,Jurídica,09491698000160
ERP,1,1.0,1187,1496652,Jurídica,10144882000112
ERP,1,1.0,1187,1187267,Jurídica,10547606000103
ERP,1,1.0,1187,2165080,Jurídica,12715880000161
ERP,1,1.0,1187,1546106,Jurídica,22621409000168
ERP,1,1.0,1187,2449575,Jurídica,22826258000184
ERP,1,1.0,1187,1543264,Jurídica,26601649000151
ERP,1,1.0,1187,2537355,Jurídica,28205186000134
Ações de Marketing (Internet/Site),0,,1331,2572788,Jurídica,32914709000199
Ações de Marketing (Feira),5,,1718,1426810,Jurídica,83646547001753
Prospecção Ativa- Vendas Internas,0,,1241,2564738,Jurídica,04799096000150
ERP,1,1.0,1187,2476235,Jurídica,29599082000114
ERP,1,1.0,1187,2501787,Jurídica,31295506000107
ERP,1,1.0,1187,2548723,Jurídica,36446710000197
ERP,1,1.0,1187,2416491,Jurídica,49032279000184
ERP,1,1.0,1187,845031,Jurídica,79230678000110
ERP,1,1.0,1187,2555994,Jurídica,89723837000172
ERP,1,1.0,1527,2216487,Jurídica,36410741000198
ERP,1,1.0,1187,843075,Jurídica,86375425000109
ERP,1,1.0,1187,1418807,Jurídica,10507244000119
ERP,1,1.0,1187,844274,Jurídica,13028128000105
ECONODATA,0,,1752,1628732,Jurídica,17920985000176
ERP,1,1.0,1187,843897,Jurídica,48949036000142
ECONODATA,0,,1752,1524668,Jurídica,30221551000146
Indicação,0,,1241,2561770,Jurídica,28123280000144
ERP,1,1.0,1187,2165132,Jurídica,10243692000152
ERP,1,1.0,1187,1487392,Jurídica,03788069000110
Prospecção Ativa- Vendas Internas,0,,2795,2533665,Jurídica,08931794000119
ERP,0,,1187,844927,Jurídica,81365223000154
ECONODATA,0,,1718,1656205,Jurídica,11212596000100
ECONODATA,0,,1752,1643389,Jurídica,11688597000125
Indicação,0,,1328,928447,Jurídica,08813653000100
Prospecção Ativa- Vendas Internas,0,,2795,2416629,Jurídica,34617693000188
Indicação,0,,1328,931280,Jurídica,09639397000130
ECONODATA,0,,2795,2433073,Jurídica,06120210000108
ERP,1,1.0,1226,2005529,Jurídica,17077912000164
ECONODATA,0,,1752,1629310,Jurídica,23491060000150
ERP,1,1.0,1187,844985,Jurídica,17824463000170
ERP,1,1.0,1226,2177693,Jurídica,07482660000103
ERP,1,1.0,1187,845543,Jurídica,59275792009610
ECONODATA,0,,1718,1656193,Jurídica,29974911000100
ERP,1,1.0,1187,842046,Jurídica,02049032000107
ECONODATA,0,,1752,1665188,Jurídica,97533980000120
ECONODATA,0,,1752,2154874,Jurídica,22596020000100
ERP,1,1.0,1187,844299,Jurídica,18898264000170
Indicação,0,,1355,2576203,Jurídica,00965449000194
ECONODATA,0,,1752,1629302,Jurídica,17795397000158
Ligação / Visita Receptiva/ Cliente Contatou,0,,1527,1889049,Jurídica,32365262000146
ECONODATA,0,,1752,1534672,Jurídica,67440651000173
Ligação / Visita Receptiva/ Cliente Contatou,1,1.0,1187,1659411,Jurídica,88610191003927
Ações de Marketing (Feira),0,,1718,1466780,Jurídica,31087447000173
ERP,1,1.0,1187,843737,Jurídica,05798396000188
Indicação,0,,1328,928433,Jurídica,11508997000101
Ligação / Visita Receptiva/ Cliente Contatou,5,,1242,1524037,Jurídica,90535535000150
ERP,1,1.0,1187,841131,Jurídica,88242862000171
Ligação / Visita Receptiva/ Cliente Contatou,0,,1216,2203303,Jurídica,51597433000107
ERP,1,1.0,1187,2561952,Jurídica,82901000001441
Ações de Marketing (Internet/Site),0,,2795,2409937,Jurídica,31347049000149
Indicação,0,,1225,1968559,Jurídica,05344349000164
ERP,1,1.0,1187,841680,Jurídica,89089668000160
Ligação / Visita Receptiva/ Cliente Contatou,0,,1331,2348476,Jurídica,03426354000190
Ações de Marketing (Internet/Site),0,,1991,2105488,Jurídica,28774059000156
ECONODATA,0,,1752,1601125,Jurídica,01497707000118
ECONODATA,0,,1186,1524118,Jurídica,02727984000132
ERP,1,1.0,1187,844054,Jurídica,03693735000136
ERP,0,,1187,842729,Jurídica,62895792000167
ERP,1,1.0,1187,1487376,Jurídica,94354271000601
ERP,1,1.0,1187,843950,Jurídica,78627148000148
ERP,1,1.0,1331,2621352,Jurídica,30720572000106
Ações de Marketing (Internet/Site),0,,1328,1186661,Jurídica,07873685000120
ERP,1,1.0,1187,2621532,Jurídica,26697704000159
ECONODATA,0,,1752,1628730,Jurídica,17121495000100
ECONODATA,0,,1752,1545934,Jurídica,07424616000139
ECONODATA,0,,1752,1656750,Jurídica,30476217000133
Ligação / Visita Receptiva/ Cliente Contatou,0,,1350,1454292,Jurídica,07514683000144
ERP,1,1.0,1187,843730,Jurídica,10639443000180
Indicação,0,,2912,2087182,Jurídica,05005168000103
