fontecontato,ranking,score,idusuarioinclusao,idinterno,tipopessoa,cnpjcpf
ERP,1,1.0,1187,845556,Jurídica,11907140000164
Indicação,0,,1328,917466,Jurídica,01214548000105
ERP,0,,1187,842891,Jurídica,07123304000195
ERP,1,1.0,1187,841405,Jurídica,05128099000125
ERP,1,1.0,1187,843764,Jurídica,05007029000119
Ações de Marketing (Feira),0,,1216,1404408,Jurídica,00401894000121
ERP,1,1.0,1187,842159,Filial,07795539000123
Ações de Marketing (Feira),0,,1328,900684,Jurídica,03419150000122
Indicação,0,,1328,921672,Jurídica,00099817000169
Ações de Marketing (Feira),0,,1328,912734,Jurídica,10145486000100
Ações de Marketing (Feira),5,,1718,1426584,Jurídica,02475488000139
Ligação / Visita Receptiva/ Cliente Contatou,0,,1216,1221947,Jurídica,01166372000155
ERP,1,1.0,1187,845362,Jurídica,02631605000106
Indicação,0,,1328,915042,Jurídica,07401879000122
Indicação,0,,1350,1190462,Jurídica,60857349001148
ERP,1,1.0,1187,842546,Jurídica,00736546000105
Ligação / Visita Receptiva/ Cliente Contatou,0,,1718,1488626,Jurídica,03284868000159
ERP,1,1.0,1187,842425,Jurídica,07842372000104
Indicação,0,,1328,1277276,Jurídica,16701716000156
Ações de Marketing (Feira),0,,1718,1467233,Jurídica,19443858000159
ERP,0,,1187,844148,Jurídica,01083122000151
ERP,1,1.0,1187,844707,Jurídica,14388123000156
Indicação,0,,1328,1271714,Jurídica,02993885000100
ERP,1,1.0,1187,842127,Jurídica,06251628000146
Ações de Marketing (Feira),0,,1718,1426726,Jurídica,07882964000150
Ações de Marketing (Internet/Site),0,,1328,1463462,Jurídica,17601411000135
ERP,1,1.0,1187,1486833,Jurídica,08490282000164
ERP,1,1.0,1187,843800,Jurídica,07966572000179
Indicação,0,,1328,1414085,Jurídica,27251488000186
Indicação,0,,1328,1271730,Jurídica,06051773000183
ERP,1,1.0,1187,843834,Jurídica,10716523000192
Indicação,0,,1328,1270609,Jurídica,00262746000173
ERP,1,1.0,1187,845248,Jurídica,14564837000178
Ligação / Visita Receptiva/ Cliente Contatou,0,,1344,1430664,Jurídica,06325474000190
Ações de Marketing (Feira),0,,1718,1466076,Jurídica,02011213000144
ERP,0,,1187,843079,Jurídica,06192263000126
Ligação / Visita Receptiva/ Cliente Contatou,0,,1241,1525435,Jurídica,25195915000120
ERP,1,1.0,1187,842133,Jurídica,04576292000166
ERP,1,1.0,1187,1413569,Jurídica,05112486000173
ERP,0,,1187,842364,Jurídica,07678507000148
ERP,1,1.0,1187,842532,Jurídica,53213294000104
ERP,1,1.0,1187,843472,Jurídica,00344545000115
ERP,1,1.0,1187,845643,Jurídica,02591957000185
Indicação,0,,1328,1406270,Jurídica,02870931000176
ERP,1,1.0,1187,844268,Jurídica,91956755000110
ERP,1,1.0,1187,845355,Jurídica,03132472000196
ECONODATA,5,,1186,1524130,Jurídica,06133155000182
ERP,1,1.0,1187,842865,Jurídica,00540127000101
ERP,1,1.0,1187,841407,Jurídica,03271499000160
ERP,1,1.0,1187,845484,Jurídica,07175725001212
Indicação,0,,1241,1466416,Jurídica,
Indicação,0,,1223,1423480,Jurídica,93369205000120
Ações de Marketing (Feira),0,,1328,906404,Jurídica,06538119000107
ERP,1,1.0,1187,845454,Jurídica,13722308000192
ERP,1,1.0,1187,844864,Jurídica,11490214000100
ERP,1,1.0,1187,841524,Jurídica,01692943000195
Indicação,0,,1328,1231886,Jurídica,79846465000118
Indicação,5,,1242,1541377,Jurídica,91377887000197
Indicação,0,,1328,918807,Jurídica,03485170000100
ERP,1,1.0,1187,1316039,Jurídica,32258787000182
ECONODATA,0,,1752,2664926,Jurídica,25000343000187
Ações de Marketing (Feira),0,,1331,1541573,Jurídica,
ERP,1,1.0,1187,843568,Jurídica,07519022000101
Ações de Marketing (Internet/Site),0,,1328,1185859,Jurídica,92341676000167
ERP,1,1.0,1187,842057,Jurídica,41911579000121
Ações de Marketing (Internet/Site),0,,1225,901314,Jurídica,26409720000107
ERP,1,1.0,1187,845300,Jurídica,03323644000109
ERP,1,1.0,1187,844701,Jurídica,09641520000158
ERP,1,1.0,1187,842265,Jurídica,75179051000121
